Step,Atom_i,Atom_j,Element_i,Element_j,Bond_type,Distance_A
6400,8,10,C,H,C-H,1.1446156254393876
6500,1,2,H,C,C-H,1.1153262751320807
6500,2,3,C,O,C-O,1.2421510133635099
6500,2,4,C,O,C-O,1.333486149159413
6500,4,5,O,H,O-H,1.099967626796353
6500,6,7,H,O,O-H,1.0023508467597553
6500,7,8,O,C,C-O,1.2664943742472758
6500,8,9,C,O,C-O,1.2193591964634554
6500,8,10,C,H,C-H,1.0893228125766945
6600,1,2,H,C,C-H,1.135353077240731
6600,2,3,C,O,C-O,1.2511228676672799
6600,2,4,C,O,C-O,1.3106391761274339
6600,4,5,O,H,O-H,1.1658888540508474
6600,6,7,H,O,O-H,1.034333345686968
6600,7,8,O,C,C-O,1.2492948931297205
6600,8,9,C,O,C-O,1.2316139979717657
6600,8,10,C,H,C-H,1.1293481394149452
6700,1,2,H,C,C-H,1.1343102309333182
6700,2,3,C,O,C-O,1.235424797387524
6700,2,4,C,O,C-O,1.314671860199342
6700,4,5,O,H,O-H,1.0507979444212863
6700,6,7,H,O,O-H,0.9557129014510601
6700,7,8,O,C,C-O,1.272017122526266
6700,8,9,C,O,C-O,1.2181394911913808
6700,8,10,C,H,C-H,1.1136146775254019
6800,1,2,H,C,C-H,1.1127823506867822
6800,2,3,C,O,C-O,1.2372006910764313
6800,2,4,C,O,C-O,1.2937959228564588
6800,4,5,O,H,O-H,1.0368832914074748
6800,6,7,H,O,O-H,0.9724451295574463
6800,7,8,O,C,C-O,1.2698785532483032
6800,8,9,C,O,C-O,1.234389444219288
6800,8,10,C,H,C-H,1.1024167542268195
6900,1,2,H,C,C-H,1.154307584658438
6900,2,3,C,O,C-O,1.2172329316938482
6900,2,4,C,O,C-O,1.284010595750675
6900,4,5,O,H,O-H,1.0619519621903803
6900,6,7,H,O,O-H,1.0505012422648534
6900,7,8,O,C,C-O,1.29908186808992
6900,8,9,C,O,C-O,1.2122852675835012
6900,8,10,C,H,C-H,1.1629002493765312
7000,1,2,H,C,C-H,1.0860495798995553
7000,2,3,C,O,C-O,1.243659752504678
7000,2,4,C,O,C-O,1.251524514342408
7000,4,5,O,H,O-H,1.0396334883024878
7000,6,7,H,O,O-H,1.0767285823270434
7000,7,8,O,C,C-O,1.324622368828188
7000,8,9,C,O,C-O,1.240465658533117
7000,8,10,C,H,C-H,1.0815540393341423
7100,1,2,H,C,C-H,1.1584991368145259
7100,2,3,C,O,C-O,1.219629804489873
7100,2,4,C,O,C-O,1.2650336952034114
7100,4,5,O,H,O-H,1.0474498603751867
7100,6,7,H,O,O-H,1.01171534039966
7100,7,8,O,C,C-O,1.341499362653593
7100,8,9,C,O,C-O,1.2389388241555759
